127.0.0.1, 2019-06-23 00:58:55, GET, /admin/default/edit/Hojas_de_Vida/models/menu.py, HTTP/1.1, 200, 0.050284
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000316
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000390
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000210
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000190
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000192
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000186
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000256
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000276
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000248
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000266
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/images/files_toggle.png, HTTP/1.1, 200, 0.000178
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/default/edit/Hojas_de_Vida/models/menu.py, HTTP/1.1, 200, 0.031739
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/static/_2.18.5/images/save_icon.png, HTTP/1.1, 200, 0.000856
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.048293
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.038213
127.0.0.1, 2019-06-23 00:58:56, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.154082
127.0.0.1, 2019-06-23 00:58:56, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.230714
127.0.0.1, 2019-06-23 00:58:56, GET, /Hojas_de_Vida/appadmin/hooks, HTTP/1.1, 200, 0.274041
127.0.0.1, 2019-06-23 00:59:34, POST, /admin/default/edit/Hojas_de_Vida/models/menu.py, HTTP/1.1, 200, 0.007225
127.0.0.1, 2019-06-23 00:59:41, GET, /admin/default/site, HTTP/1.1, 200, 0.014306
127.0.0.1, 2019-06-23 00:59:41, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.000267
127.0.0.1, 2019-06-23 00:59:41, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.000275
127.0.0.1, 2019-06-23 00:59:41, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000191
127.0.0.1, 2019-06-23 00:59:43, GET, /Hojas_de_Vida/default/index, HTTP/1.1, 200, 0.491148
127.0.0.1, 2019-06-23 00:59:51, GET, /admin/default/site, HTTP/1.1, 200, 0.017372
127.0.0.1, 2019-06-23 00:59:55, GET, /admin/default/pack_custom/Hojas_de_Vida, HTTP/1.1, 200, 0.043114
127.0.0.1, 2019-06-23 00:59:58, POST, /admin/default/pack_custom/Hojas_de_Vida, HTTP/1.1, 200, 0.174182
127.0.0.1, 2019-06-23 10:30:58, GET, /, HTTP/1.1, 303, 0.088498
127.0.0.1, 2019-06-23 10:31:02, GET, /welcome/default/index, HTTP/1.1, 200, 3.004078
127.0.0.1, 2019-06-23 10:31:02, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000250
127.0.0.1, 2019-06-23 10:31:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000265
127.0.0.1, 2019-06-23 10:31:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000199
127.0.0.1, 2019-06-23 10:31:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000180
127.0.0.1, 2019-06-23 10:31:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000845
127.0.0.1, 2019-06-23 10:31:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001415
127.0.0.1, 2019-06-23 10:31:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000217
127.0.0.1, 2019-06-23 10:31:03, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000172
127.0.0.1, 2019-06-23 10:31:03, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001065
127.0.0.1, 2019-06-23 10:31:06, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000353
127.0.0.1, 2019-06-23 10:31:06, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000757
127.0.0.1, 2019-06-23 10:31:07, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000228
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/default/index, HTTP/1.1, 200, 1.957292
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000327
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.000283
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.000233
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000227
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000244
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000212
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000244
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000284
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000311
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000300
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000273
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.000300
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.000330
127.0.0.1, 2019-06-23 10:31:12, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000311
127.0.0.1, 2019-06-23 10:31:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2019-06-23 10:31:14, POST, /admin/default/index, HTTP/1.1, 303, 0.008422
127.0.0.1, 2019-06-23 10:31:14, GET, /admin/default/site, HTTP/1.1, 200, 0.079763
127.0.0.1, 2019-06-23 10:31:14, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.000278
127.0.0.1, 2019-06-23 10:31:14, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000188
127.0.0.1, 2019-06-23 10:31:14, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000358
127.0.0.1, 2019-06-23 10:31:14, POST, /admin/default/check_version, HTTP/1.1, 200, 0.236809
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/default/index, HTTP/1.1, 200, 0.870751
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000223
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000230
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/css/calendar.css, HTTP/1.1, 200, 0.000190
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/js/calendar.js, HTTP/1.1, 200, 0.000186
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/js/jquery.js, HTTP/1.1, 200, 0.000192
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002708
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/js/web2py.js, HTTP/1.1, 200, 0.000203
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000243
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001015
127.0.0.1, 2019-06-23 10:33:01, GET, /Hojas_de_Vida/static/images/favicon.ico, HTTP/1.1, 200, 0.000592
